Área,entre 21 a 30 anos,entre 31 a 40 anos,até 20 anos,entre 41 a 50 anos,entre 51 a 60 anos,mais de 70 anos,entre 61 a 70 anos
Produtos de Telefonia e Informática,2479,2762,177,1191,629,166,364
Serviços Financeiros,9410,12932,617,8768,7343,3473,8129
Demais Serviços ,2524,3331,226,1551,616,127,343
Transportes,2778,5497,72,2728,1323,213,674
Demais Produtos,2150,2792,164,1203,516,66,200
Produtos Eletrodomésticos e Eletrônicos,1241,1832,59,891,415,66,180
"Água, Energia, Gás",901,1645,25,1180,757,233,493
Telecomunicações,4369,6863,184,4211,2601,893,1613
Turismo/Viagens,679,1176,20,587,347,27,125
Alimentos,119,226,7,83,40,7,13
Educação,439,340,45,107,20,0,5
Saúde,265,434,5,265,152,47,75
Habitação,55,73,2,22,8,0,4
