,Sigla,Estado,Nota_Media,Longitude,Latitude
0,SP,São Paulo,2.8039151925078043,-22.763116,-49.879454
1,MA,Maranhão,2.571753986332574,-4.042,-45.107216
2,RJ,Rio de Janeiro,2.790348875122269,-22.7641,-42.1726
3,SC,Santa Catarina,2.8432924416303917,-27.257104,-49.879454
4,PA,Pará,2.833756345177665,-4.239015,-52.218322
5,MG,Minas Gerais,2.8179916317991633,-18.824095,-44.0345
6,PE,Pernambuco,2.8286082474226806,-8.140122,-37.779227
7,CE,Ceará,2.8326258338386903,-4.354732,-39.712723
8,RS,Rio Grande do Sul,3.5081270317579394,-30.055067,-52.387882
9,BA,Bahia,2.7419446820644424,-12.197327,-40.191427
10,MT,Mato Grosso,2.8295114656031903,-13.434091,-55.501919
11,ES,Espírito Santo,2.972576530612245,-19.768337,-40.3565
12,GO,Goiás,2.9134241245136185,-16.8529,-51.105
13,RN,Rio Grande do Norte,3.076923076923077,-5.607038,-36.8261
14,PI,Piauí,2.7345750873108265,-6.995318,-41.807852
15,PB,Paraíba,2.8932432432432433,-6.950165,-35.588089
16,AL,Alagoas,2.542372881355932,-9.521841,-36.039082
17,SE,Sergipe,2.799465240641711,-8.263146,-35.510823
18,PR,Paraná,2.848999822977518,-24.722653,-51.09548
19,DF,Distrito Federal,2.8359173126614987,-15.858437,-47.596956
20,TO,Tocantins,2.3141153081510932,-9.596869,-48.201864
21,AM,Amazonas,3.0577933450087564,-3.976318,-64.399382
22,MS,Mato Grosso do Sul,3.0280210157618215,-20616023,-55.095124
23,RO,Rondônia,3.1186440677966103,-11.474053,-62.226545
24,AC,Acre,3.1867469879518073,-9.49865,-69.629581
25,RR,Roraima,3.257142857142857,2.148823,-61.412437
26,AP,Amapá,2.5,2.406605,-51.428199
